epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,332.756,0.69978,0.5981,0.86766,0.79183,0.85281,0.87478,0.6839,0.71709,0.74414,0.89318,0.000369054,0.000369054,0.000369054
62,338.059,0.70015,0.61894,0.86859,0.78769,0.83212,0.85746,0.66933,0.69676,0.79425,0.87988,0.000360055,0.000360055,0.000360055
63,343.361,0.724,0.60198,0.86614,0.77779,0.84238,0.86455,0.66989,0.71727,0.78053,0.88543,0.000351056,0.000351056,0.000351056
64,348.654,0.72903,0.63145,0.87116,0.77063,0.85196,0.86149,0.67363,0.67971,0.75177,0.88633,0.000342057,0.000342057,0.000342057
65,353.973,0.68998,0.60045,0.86148,0.77964,0.84237,0.86408,0.66719,0.67827,0.74428,0.88569,0.000333058,0.000333058,0.000333058
66,359.297,0.69183,0.58115,0.86935,0.76668,0.80579,0.87108,0.68404,0.68011,0.7551,0.88672,0.000324058,0.000324058,0.000324058
67,364.611,0.65531,0.55935,0.85606,0.80332,0.78056,0.86179,0.67492,0.69111,0.82064,0.88388,0.000315059,0.000315059,0.000315059
68,369.937,0.65725,0.5557,0.85645,0.73477,0.86563,0.84633,0.65354,0.74993,0.79256,0.88479,0.00030606,0.00030606,0.00030606
69,375.279,0.66513,0.57662,0.85848,0.75576,0.86962,0.86576,0.68928,0.66288,0.75164,0.87546,0.000297061,0.000297061,0.000297061
70,380.799,0.64528,0.54735,0.85176,0.76103,0.88691,0.88293,0.68698,0.68188,0.715,0.87699,0.000288062,0.000288062,0.000288062
71,386.107,0.65564,0.56202,0.85703,0.80003,0.86594,0.88478,0.69813,0.66858,0.7129,0.8751,0.000279063,0.000279063,0.000279063
72,391.641,0.64069,0.55136,0.85793,0.8318,0.84991,0.87829,0.69845,0.66888,0.70746,0.87058,0.000270064,0.000270064,0.000270064
73,396.95,0.62223,0.53584,0.8474,0.82622,0.81723,0.86399,0.69198,0.67295,0.7448,0.87489,0.000261065,0.000261065,0.000261065
74,402.276,0.64239,0.54727,0.84098,0.8276,0.81078,0.87596,0.69428,0.71063,0.72344,0.88137,0.000252066,0.000252066,0.000252066
75,407.596,0.64319,0.52189,0.85114,0.76778,0.86013,0.88048,0.70667,0.69095,0.70237,0.87532,0.000243067,0.000243067,0.000243067
76,413.132,0.6693,0.54875,0.86429,0.83546,0.82592,0.90168,0.73254,0.67899,0.69775,0.87877,0.000234068,0.000234068,0.000234068
77,418.681,0.65086,0.53711,0.85656,0.87567,0.82533,0.8965,0.72514,0.65613,0.7028,0.87554,0.000225068,0.000225068,0.000225068
78,424.02,0.63664,0.52179,0.84829,0.87383,0.79649,0.89575,0.72193,0.69037,0.70101,0.87777,0.000216069,0.000216069,0.000216069
79,429.377,0.61316,0.51052,0.84915,0.82834,0.81962,0.88901,0.72576,0.65947,0.69251,0.87367,0.00020707,0.00020707,0.00020707
80,434.687,0.6477,0.51662,0.8571,0.76639,0.87615,0.88583,0.71921,0.65745,0.70399,0.87291,0.000198071,0.000198071,0.000198071
81,439.995,0.64765,0.52367,0.85207,0.80354,0.85416,0.88856,0.70505,0.71222,0.73861,0.8798,0.000189072,0.000189072,0.000189072
82,445.303,0.6507,0.51962,0.8596,0.85557,0.81563,0.88744,0.71452,0.64563,0.69291,0.87885,0.000180073,0.000180073,0.000180073
83,450.589,0.60799,0.49312,0.83899,0.78426,0.87621,0.89474,0.71863,0.66436,0.68548,0.87512,0.000171074,0.000171074,0.000171074
84,455.879,0.6605,0.51107,0.85925,0.8637,0.81599,0.90335,0.73281,0.6545,0.67118,0.87276,0.000162075,0.000162075,0.000162075
85,461.386,0.6126,0.49924,0.84026,0.88443,0.81362,0.90962,0.74415,0.65411,0.67448,0.8754,0.000153076,0.000153076,0.000153076
86,466.919,0.60126,0.49538,0.84439,0.86785,0.83821,0.90898,0.73213,0.66493,0.6568,0.87369,0.000144077,0.000144077,0.000144077
87,472.216,0.6068,0.48355,0.84778,0.87808,0.8379,0.9061,0.73897,0.6337,0.63575,0.86769,0.000135077,0.000135077,0.000135077
88,477.531,0.58749,0.47227,0.84504,0.89278,0.82106,0.90649,0.74511,0.63353,0.6284,0.86888,0.000126078,0.000126078,0.000126078
89,483.04,0.58692,0.46916,0.84021,0.84164,0.85884,0.9057,0.74021,0.65599,0.64335,0.87067,0.000117079,0.000117079,0.000117079
90,488.373,0.5924,0.46646,0.83814,0.88959,0.82655,0.90621,0.73656,0.65525,0.65582,0.86985,0.00010808,0.00010808,0.00010808
91,494.382,0.55747,0.44815,0.8279,0.88558,0.81806,0.89675,0.73292,0.64679,0.66173,0.87467,9.9081e-05,9.9081e-05,9.9081e-05
92,499.729,0.55051,0.43964,0.82999,0.89484,0.80777,0.89977,0.74321,0.64199,0.64731,0.87647,9.00819e-05,9.00819e-05,9.00819e-05
93,505.01,0.56168,0.45458,0.83683,0.89159,0.84537,0.9068,0.73876,0.64979,0.64356,0.87295,8.10828e-05,8.10828e-05,8.10828e-05
94,510.281,0.54973,0.42683,0.82345,0.90073,0.83205,0.90574,0.74687,0.63457,0.64406,0.87632,7.20837e-05,7.20837e-05,7.20837e-05
95,515.754,0.53445,0.40909,0.82599,0.8989,0.81392,0.90173,0.73862,0.64158,0.64919,0.8755,6.30846e-05,6.30846e-05,6.30846e-05
96,521.047,0.53591,0.41204,0.82785,0.83889,0.85983,0.90055,0.74148,0.64913,0.65314,0.87229,5.40855e-05,5.40855e-05,5.40855e-05
97,526.355,0.53907,0.42091,0.83322,0.83832,0.86655,0.90216,0.74806,0.63669,0.64844,0.87156,4.50864e-05,4.50864e-05,4.50864e-05
98,531.866,0.53119,0.39819,0.82039,0.81998,0.86881,0.90663,0.74837,0.62472,0.63554,0.86977,3.60873e-05,3.60873e-05,3.60873e-05
99,537.412,0.51643,0.38917,0.82614,0.82802,0.86476,0.90789,0.76051,0.62709,0.63267,0.87072,2.70882e-05,2.70882e-05,2.70882e-05
100,542.958,0.51125,0.39303,0.8209,0.82641,0.8643,0.90959,0.75262,0.6337,0.63864,0.87227,1.80891e-05,1.80891e-05,1.80891e-05
